"","test","subj","year","grade","itemno","dichot","scoring","a","sda","b","sdb","c","sdc","D","d0","sdd0","d1","sdd1","d2","sdd2","d3","sdd3","d4","sdd4"
"1","MCAS","MTH","2011","3",203711,TRUE,TRUE,1.30073,0.01721,-0.54872,0.01353,0.16893,0.00809,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MCAS","MTH","2011","3",207767,TRUE,TRUE,1.28741,0.02059,-0.76,0.01978,0.31763,0.01072,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MCAS","MTH","2011","3",264562,TRUE,TRUE,0.89952,0.01304,-0.52133,0.01989,0.08318,0.0101,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MCAS","MTH","2011","3",206959,TRUE,TRUE,0.86045,0.01535,-1.00552,0.0363,0.20215,0.01773,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MCAS","MTH","2011","3",212475,TRUE,TRUE,1.32272,0.02021,-0.62623,0.01704,0.29474,0.00944,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MCAS","MTH","2011","3",294316,TRUE,TRUE,1.20169,0.01579,-0.34229,0.01276,0.14154,0.00722,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MCAS","MTH","2011","3",282101,TRUE,TRUE,0.27082,0.00594,-2.20382,0.05132,0,0,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MCAS","MTH","2011","3",207018,TRUE,TRUE,1.05299,0.01722,-0.52225,0.02148,0.26464,0.01051,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MCAS","MTH","2011","3",252908,TRUE,TRUE,1.16133,0.01685,0.18658,0.01063,0.15479,0.00553,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MCAS","MTH","2011","3",261810,TRUE,TRUE,0.75976,0.01616,-1.41977,0.06183,0.2317,0.0288,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MCAS","MTH","2011","3",260526,TRUE,TRUE,1.35892,0.01818,-0.12363,0.01055,0.18859,0.00605,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","MCAS","MTH","2011","3",260524,TRUE,TRUE,0.71165,0.00733,-0.85236,0.01073,0,0,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MCAS","MTH","2011","3",253584,TRUE,TRUE,1.43002,0.01737,-0.22186,0.00928,0.13415,0.00563,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
